data1,data2,data3,homo1,homo2,homo3,arma1,arma2,arma3,prophet1,prophet2,prophet3,full1,full2,full3
5,2,5,5,4,4,5.365343956,1.148646799,4.509175369,5.564066173,2.410480333,5.07021196,5.022,1.84,5
3,1,4,5,4,4,4.81774888,1.830332766,4.935642296,4.267455892,1.993928634,4.274306814,3.162,0.966,4.142
2,1,3,5,4,5,2.929103567,0.805298688,3.980946117,2.127909827,1.711453308,3.129089062,2.14,0.804,3.106
1,0,2,5,4,5,2.047207309,1.230247948,3.308600549,0.287590832,1.628231233,1.780984066,1.142,0.466,2.118
1,0,0,5,4,5,0.921293752,0.423120516,2.168456855,-0.407653289,1.996495118,0.582796368,1.032,0.644,0.692
1,2,1,5,4,5,0.803974002,0.910257726,0.755498799,-0.162692435,3.041692085,-0.156389309,0.808,1.926,0.88
1,2,0,5,5,5,0.792163083,2.930423977,1.097238155,0.089832881,4.686479837,-0.389604132,0.738,2.422,0.422
1,5,0,5,4,4,1.138557389,2.733782,0.853420851,-0.260586865,6.472806582,-0.316291365,0.77,5.11,0.306
1,10,0,5,4,5,1.612374704,5.873687419,0.638093294,-0.808048944,7.793655556,-0.09575764,0.898,9.964,0.384
1,9,1,5,4,5,2.038010652,9.959304813,1.016804981,-0.511165758,8.269853681,0.361139697,1.074,9.086,0.86
3,6,1,5,4.5,5,2.242638474,8.257037842,1.681957533,1.220339639,8.010634466,1.311555722,2.672,6.148,1.166
3,8,2,5,4,5,3.749595565,6.157783888,2.185843581,3.832918915,7.491305933,2.857828706,3.044,8.308,1.922
6,11,5,5,4,5,3.395200142,8.641433919,2.788815104,6.043608454,7.215864871,4.701742703,5.644,10.448,4.556
6,14,5,5,4,5,5.856381274,10.74769052,5.540783626,6.977875382,7.40156536,6.253202108,6.23,13.418,4.854
6,11,5,5,4,5,5.677622309,12.88258278,5.743149156,6.916817694,7.915576897,7.04311101,6.168,10.808,4.966
4,9,6,5,4,5,6.311248398,9.42148706,5.906218716,6.920725727,8.454352302,7.087921517,4.486,8.892,5.53
6,13,7,5,4,4,4.948237335,8.25476593,6.278418056,7.709483758,8.768735328,6.874040683,5.996,12.6,6.77
7,17,6,5,4,5,6.586260871,11.91879019,7.28528904,8.916936256,8.752844496,6.964947571,7.082,16.6,5.908
7,14,6,5,4,5,6.590529022,14.29886722,6.281327125,9.460082537,8.386567446,7.579286422,6.97,13.602,5.844
8,11,8,5,4,5,6.454491883,10.59915472,6.210796593,8.649135654,7.654147637,8.454585146,7.778,10.686,7.804
7,9,8,5,4,5,7.304375849,8.490736995,7.387054258,6.921511274,6.585679855,9.145731652,6.888,8.538,8.078
7,8,8,5,4,5,6.629292101,6.882652214,7.830983088,5.458776853,5.306191653,9.384010132,6.916,7.832,7.854
6,6,9,5,4.5,5,7.072833485,6.098327337,7.50994599,5.056422375,4.050528803,9.209723857,6.232,5.376,9.086
6,4,7,5,4,5,6.280404271,4.241879197,8.393596073,5.366074808,3.047454371,8.797285574,5.894,3.502,7.072
4,2,8,5,4,4,6.2577149,2.742962644,6.63840953,5.261411936,2.374924635,8.20421314,3.99,1.788,7.842
4,0,6,5,4,5,4.250749287,1.232363522,7.23848529,3.965518231,1.942247976,7.321948239,3.992,0.482,5.914
2,0,5,5,4,5,3.982062793,-0.187716206,5.52108256,1.826688742,1.643647689,6.067352042,2.088,0.524,4.802
1,1,6,5,5,5,1.734248694,0.29348619,4.63573503,-0.012913677,1.544300654,4.587927461,1.196,0.878,5.358
0,1,3,5,4,5,0.816664094,1.284922084,5.039215236,-0.707441222,1.896439579,3.23778022,0.568,0.992,2.288
1,2,2,5,4,5,-0.248192545,1.308765111,3.137854447,-0.461763752,2.921517081,2.331255191,0.766,1.942,1.486
1,3,0,5,4,5,0.621119062,2.565580796,1.777540596,-0.20852182,4.546185368,1.9064033,0.794,3.134,0.472
1,5,1,5,4,4,0.813312572,3.534449735,0.380111367,-0.558224951,6.312392649,1.772530452,0.75,5.046,0.672
0,11,0,5,4,5,1.571173737,5.510391499,0.80001232,-1.104970415,7.613122158,1.772360644,0.424,10.754,0.44
2,7,1,5,4,5,1.400463169,10.88927572,0.617149621,-0.807851834,8.077218234,1.997197869,1.57,7.278,0.994
